Composition,denstiy,Temperature
Na6K8Li4Ba8Mg4Sr3Zr5Zn8Cs5Ca3Cl95,2.02723038771228,1300
Mg2Cs2Ca4Na9Ba2Zn11Sr8Zr11Rb2Li2Cl113,1.85472897322677,1400
Na5K1Ca6Li10Rb8Ba10Zr7Cs4Sr2Zn2Cl96,2.28425188021978,1000
K8Zr3Ba4Mg9Li9Ca1Rb6Sr11Na3Zn2Cl92,2.01528673476523,1150
Sr5Ba6K4Li4Zn8Zr11Rb2Na3Cs10Ca1Cl107,2.26738634215784,1000
K7Ba3Ca5Mg5Zr8Cs3Zn8Na1Rb7Sr7Cl106,2.09114769710289,1100
Ba7Na1Ca5Zn8Rb8Sr1Mg8Zr5Li9K4Cl100,1.83943314245754,1450
Zn10Ba2Ca5K2Zr9Rb9Na7Cs2Li5Mg5Cl105,1.75245006703296,1400
Cs7Rb5Na9Sr10Ca5Zn4K7Zr3Li2Ba3Cl86,1.91754017132867,1500
Li7Ca7Sr9Cs4Ba4Na7K2Zr9Rb4Zn2Cl104,1.89695454855144,1500
Mg1Cs1Li11Ca8Zr2Zn8Rb7Sr6Ba2Na9Cl86,1.86426673816183,1500
Ca6Cs3Zn4Mg4Sr2Na2Li11Ba3Zr8Rb12Cl98,1.82153888311688,1450
Li10K9Cs6Ca4Zr5Mg5Rb7Zn1Na3Ba5Cl85,1.86079896463536,1350
Sr6Rb6Mg10Zr7K1Li8Ca2Cs3Na3Zn9Cl103,1.83021306853146,1350
Li5Sr2Mg13Ca7Zn6Zr6Rb6Na3Cs7K1Cl102,2.04518661368631,1000
Sr3K1Zn9Rb2Cs4Ba9Ca6Zr8Na8Mg5Cl111,2.06023837432567,1300
Li6Ca4Zr3Zn8Mg7K3Rb5Na8Sr3Cs8Cl86,1.93308942937062,1250
Ca5Li5Ba6Zn2K2Zr8Sr5Rb9Cs7Na6Cl97,2.08024675834165,1300
